Airline,FlightNumber,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
CO,269,SFO,IAH,Wednesday,00:15,205,1
US,1558,PHX,CLT,Wednesday,00:15,222,1
AA,2400,LAX,DFW,Wednesday,00:20,165,1
AA,2466,SFO,DFW,Wednesday,00:20,195,1
AS,108,ANC,SEA,Wednesday,00:30,202,0
CO,1094,LAX,IAH,Wednesday,00:30,181,1
DL,1768,LAX,MSP,Wednesday,00:30,220,0
DL,2722,PHX,DTW,Wednesday,00:30,228,0
DL,2606,SFO,MSP,Wednesday,00:35,216,1
AA,2538,LAS,ORD,Wednesday,00:40,200,1
CO,223,ANC,SEA,Wednesday,00:49,201,1
DL,1646,PHX,ATL,Wednesday,00:50,212,1
DL,2055,SLC,ATL,Wednesday,00:50,210,0
AA,2408,LAX,DFW,Wednesday,00:55,170,0
AS,132,ANC,PDX,Wednesday,00:55,215,0
US,498,DEN,CLT,Wednesday,00:55,179,0
B6,98,DEN,JFK,Wednesday,00:59,213,0
CO,1496,LAS,IAH,Wednesday,01:00,162,0
DL,1450,LAS,MSP,Wednesday,01:00,181,0
CO,507,ONT,IAH,Wednesday,01:15,167,0
AS,128,FAI,SEA,Wednesday,01:20,206,0
DL,2223,ANC,SLC,Wednesday,01:25,270,0
AS,112,ANC,SEA,Wednesday,01:30,200,0
HA,17,LAS,HNL,Wednesday,01:40,380,1
US,122,ANC,PHX,Wednesday,01:53,327,1
AS,114,ANC,SEA,Wednesday,02:30,200,0
B6,766,BQN,MCO,Wednesday,04:00,169,0
B6,768,PSE,MCO,Wednesday,04:22,180,0
HA,206,HNL,OGG,Wednesday,05:00,36,1
OO,4746,BIS,MSP,Wednesday,05:00,85,0
OO,6466,IYK,LAX,Wednesday,05:00,53,0
US,1011,EWR,CLT,Wednesday,05:00,111,0
US,1983,BOS,CLT,Wednesday,05:00,135,0
HA,108,HNL,KOA,Wednesday,05:02,41,0
OO,6900,MKE,ORD,Wednesday,05:02,44,0
9E,3975,GFK,MSP,Wednesday,05:05,68,0
HA,102,HNL,ITO,Wednesday,05:05,49,0
OO,4829,OMA,MSP,Wednesday,05:05,75,0
OH,6338,GSO,ATL,Wednesday,05:15,93,1
OO,6505,LMT,SFO,Wednesday,05:15,95,0
US,149,SEA,PHX,Wednesday,05:15,166,1
US,1640,MCO,CLT,Wednesday,05:15,97,0
US,908,TPA,CLT,Wednesday,05:15,96,0
HA,106,HNL,OGG,Wednesday,05:17,36,0
9E,3854,DLH,MSP,Wednesday,05:20,58,1
DL,1276,MSP,ATL,Wednesday,05:20,158,0
OO,4651,FAR,MSP,Wednesday,05:20,62,1
CO,1585,MFE,IAH,Wednesday,05:25,64,0
CO,222,MSY,IAH,Wednesday,05:25,70,0
EV,4966,VPS,ATL,Wednesday,05:25,69,0
US,1521,BWI,CLT,Wednesday,05:25,83,0
XE,2827,MAF,IAH,Wednesday,05:25,85,0
OO,4719,LWS,SLC,Wednesday,05:28,87,1
9E,3702,RST,MSP,Wednesday,05:30,50,0
9E,3775,ALB,DTW,Wednesday,05:30,120,1
9E,3886,DSM,ATL,Wednesday,05:30,135,1
AA,1711,BOS,MIA,Wednesday,05:30,210,0
CO,611,EWR,IAH,Wednesday,05:30,233,0
DL,1143,CHS,ATL,Wednesday,05:30,72,0
DL,1511,MSN,DTW,Wednesday,05:30,80,0
DL,1518,MCO,ATL,Wednesday,05:30,84,0
DL,1698,JAX,ATL,Wednesday,05:30,80,0
DL,1842,SAT,ATL,Wednesday,05:30,142,0
DL,1972,TPA,ATL,Wednesday,05:30,85,0
DL,2054,PNS,ATL,Wednesday,05:30,75,0
DL,2112,BHM,ATL,Wednesday,05:30,58,0
DL,2306,LIT,ATL,Wednesday,05:30,97,0
DL,2711,SAV,ATL,Wednesday,05:30,65,0
DL,2995,BNA,ATL,Wednesday,05:30,67,0
EV,4940,OMA,ATL,Wednesday,05:30,147,0
EV,5014,ICT,ATL,Wednesday,05:30,132,0
EV,5044,ECP,ATL,Wednesday,05:30,68,0
EV,5117,DHN,ATL,Wednesday,05:30,70,0
EV,5393,MGM,ATL,Wednesday,05:30,57,0
EV,5532,CAE,ATL,Wednesday,05:30,64,1
EV,7108,PWM,IAD,Wednesday,05:30,114,0
OO,6917,ACV,SMF,Wednesday,05:30,65,0
OO,7781,EKO,SLC,Wednesday,05:30,70,0
US,1289,BOS,PHL,Wednesday,05:30,84,0
US,1420,PHL,CLT,Wednesday,05:30,102,0
US,1732,ATL,CLT,Wednesday,05:30,68,1
US,347,PDX,PHX,Wednesday,05:30,148,0
US,913,RIC,CLT,Wednesday,05:30,72,0
XE,2263,BTR,IAH,Wednesday,05:30,72,1
XE,3024,HRL,IAH,Wednesday,05:30,70,0
YV,2605,MYR,CLT,Wednesday,05:30,62,0
HA,103,HNL,LIH,Wednesday,05:31,35,0
UA,576,SEA,DEN,Wednesday,05:31,159,0
OO,6644,TUS,DEN,Wednesday,05:33,112,0
YV,7294,SBN,ORD,Wednesday,05:34,46,0
9E,3661,CAK,DTW,Wednesday,05:35,76,0
9E,3725,TVC,DTW,Wednesday,05:35,75,0
9E,3804,CLE,ATL,Wednesday,05:35,128,0
AA,674,ORD,MIA,Wednesday,05:35,185,1
B6,728,BQN,JFK,Wednesday,05:35,231,0
CO,463,ORD,IAH,Wednesday,05:35,164,1
OH,6423,DAY,DTW,Wednesday,05:35,75,0
OO,6698,MFR,PDX,Wednesday,05:35,74,0
XE,2865,MKE,IAH,Wednesday,05:35,174,0
EV,7101,BTV,IAD,Wednesday,05:36,110,0
9E,3998,TLH,ATL,Wednesday,05:38,68,0
9E,4196,TYS,ATL,Wednesday,05:40,57,0
CO,214,DFW,IAH,Wednesday,05:40,59,1
DL,2123,BOS,DTW,Wednesday,05:40,144,0
DL,2597,RIC,ATL,Wednesday,05:40,109,0
DL,2626,FLL,ATL,Wednesday,05:40,118,0
DL,684,AUS,ATL,Wednesday,05:40,134,0
EV,5583,CHA,ATL,Wednesday,05:40,47,0
MQ,4563,CMH,LGA,Wednesday,05:40,100,0
XE,2616,LRD,IAH,Wednesday,05:40,66,1
XE,3006,BRO,IAH,Wednesday,05:40,70,0
XE,3015,CRP,IAH,Wednesday,05:40,59,1
XE,5970,LAN,ORD,Wednesday,05:40,71,0
9E,3659,ALB,ATL,Wednesday,05:45,183,0
9E,3862,SAT,MEM,Wednesday,05:45,119,1
9E,3949,PVD,DTW,Wednesday,05:45,135,1
9E,4143,FWA,DTW,Wednesday,05:45,59,0
AA,1141,JFK,MIA,Wednesday,05:45,190,0
AA,1297,DFW,MIA,Wednesday,05:45,160,0
AA,2320,DFW,ORD,Wednesday,05:45,140,0
CO,1677,PHL,IAH,Wednesday,05:45,219,0
CO,1727,BWI,IAH,Wednesday,05:45,208,0
CO,240,AUS,IAH,Wednesday,05:45,55,0
CO,278,SAT,IAH,Wednesday,05:45,54,0
CO,633,LGA,IAH,Wednesday,05:45,235,0
DL,1095,OKC,ATL,Wednesday,05:45,127,0
DL,1112,PIT,ATL,Wednesday,05:45,131,1
DL,1506,LAX,DTW,Wednesday,05:45,270,0
DL,1580,SFO,DTW,Wednesday,05:45,270,0
DL,2320,PBI,ATL,Wednesday,05:45,113,0
DL,2481,ORF,ATL,Wednesday,05:45,120,0
DL,2710,DFW,ATL,Wednesday,05:45,132,0
DL,2939,DCA,ATL,Wednesday,05:45,120,1
EV,5142,AEX,ATL,Wednesday,05:45,119,0
EV,5218,SYR,ATL,Wednesday,05:45,158,0
EV,5233,BTR,ATL,Wednesday,05:45,97,0
EV,5362,SHV,ATL,Wednesday,05:45,123,1
EV,5501,VLD,ATL,Wednesday,05:45,62,0
OH,6264,BDL,CVG,Wednesday,05:45,133,0
OH,6549,MFE,MEM,Wednesday,05:45,118,0
OO,6407,FAT,SFO,Wednesday,05:45,45,0
OO,6647,BZN,DEN,Wednesday,05:45,107,0
OO,6925,PHX,LAX,Wednesday,05:45,85,0
OO,6964,RDM,PDX,Wednesday,05:45,58,0
US,1423,DCA,CLT,Wednesday,05:45,85,0
XE,2919,LFT,IAH,Wednesday,05:45,58,0
XE,5951,CAK,ORD,Wednesday,05:45,95,0
OO,6480,IPL,YUM,Wednesday,05:46,34,0
OO,6843,EAU,CWA,Wednesday,05:46,32,0
UA,756,SFO,DEN,Wednesday,05:48,158,0
OO,3099,OMA,MKE,Wednesday,05:49,81,1
9E,3718,ERI,DTW,Wednesday,05:50,65,1
B6,107,BUF,JFK,Wednesday,05:50,83,0
DL,1248,IAH,ATL,Wednesday,05:50,130,1
DL,1985,DAY,ATL,Wednesday,05:50,114,0
DL,2387,MKE,ATL,Wednesday,05:50,129,1
DL,2405,PHL,DTW,Wednesday,05:50,115,0
DL,734,MCI,ATL,Wednesday,05:50,129,0
EV,5165,AGS,ATL,Wednesday,05:50,60,0
FL,331,PHL,ATL,Wednesday,05:50,145,0
MQ,2734,ABI,DFW,Wednesday,05:50,50,0
MQ,2796,GRR,DFW,Wednesday,05:50,175,0
MQ,3014,FAT,LAX,Wednesday,05:50,65,0
MQ,3332,LBB,DFW,Wednesday,05:50,70,0
MQ,3632,CLT,MIA,Wednesday,05:50,120,1
MQ,3781,LIT,ORD,Wednesday,05:50,105,0
MQ,3842,MSP,ORD,Wednesday,05:50,95,1
MQ,3892,PHL,ORD,Wednesday,05:50,140,0
MQ,4013,LEX,ORD,Wednesday,05:50,95,0
OH,6498,ORD,ATL,Wednesday,05:50,128,1
OH,6629,GRR,DTW,Wednesday,05:50,61,0
9E,4391,MBS,DTW,Wednesday,05:51,59,0
HA,218,HNL,KOA,Wednesday,05:52,41,0
OO,6921,MOD,SFO,Wednesday,05:52,38,0
9E,3935,EWR,DTW,Wednesday,05:55,130,1
9E,3955,LBB,MEM,Wednesday,05:55,119,0
9E,4200,TYS,CVG,Wednesday,05:55,64,0
9E,4274,AMA,MEM,Wednesday,05:55,120,0
